"X_0_0";"X_0_1";"X_0_2";"X_0_3";"X_0_4";"X_0_5";"X_1_0";"X_1_1";"X_1_2";"X_1_3";"X_1_4";"X_1_5";"X_2_0";"X_3_0";"X_4_0"
-3.6701727975310167e-01;-2.8622996912889048e-01;-1.8868034357652827e-01;-6.7453182300166892e-01;-1.0502754445923270e+00;7.1900647829433784e-01;4.2701955530199120e-01;7.4080507189757994e-01;-4.2473242193631172e-01;-3.2613141068847362e-01;7.3972087500102612e-01;1.3778106256033660e+00;7.4384310564234735e-01;-6.2537380648587299e-02;-6.4895900792348682e-01
9.0840797250924077e-01;7.1191796025791998e-01;-1.0532447973595647e+00;9.6425976781707270e-04;7.8134449315483856e-01;1.3811838886340146e+00;3.3622437883062889e-01;1.7120138646132648e+00;-1.3288054115664896e+00;8.3440688270377183e-01;7.6483252961423953e-01;1.2478440733898515e+00;-1.2632191099873252e-01;5.5182828987391808e-01;-1.2554468498240934e+00
1.6661254377257220e-01;1.7297131491365831e+00;3.8705368825366071e-01;7.8146063220991335e-01;3.9283692229477779e-01;-2.2086379842635164e+00;8.1127977853465605e-01;-6.7864069165302809e-01;-4.9995065442916425e-01;-2.6190483656518432e-01;-9.3765750323302544e-01;-1.5475606128996331e+00;1.2777063740333872e-01;-4.0264752793531117e-02;-6.7150358686765876e-01
-1.2764613519000740e+00;6.0878020951014833e-01;2.1480288862308186e+00;-1.7769796980680655e-01;2.7496619007208922e+00;-7.6985025912305549e-01;1.9439935357431668e+00;1.2831818634718739e+00;-1.7358902284423425e+00;-1.8778937648770463e-01;4.1418025659599028e-01;5.2180158106530106e-01;-2.5109249080805174e-01;-1.9714705965825325e+00;-1.0783603216070121e+00
1.0585504986638274e-01;-1.5761435222447021e-01;3.1809864013770062e-02;8.7709845284481669e-01;-9.0142595487893093e-02;2.0155297557382434e-01;-4.1167510921026051e-01;7.5588743582376516e-01;7.7013524252653953e-01;-6.6611657031013838e-01;-2.4068097628555829e-01;-2.7766825365214505e+00;7.2407082129544287e-01;1.2720960797739702e+00;1.0887898868950044e-01
-9.3395469272147746e-01;-3.1457808349009925e-01;1.7024214633118047e+00;-5.6438094510898129e-01;1.3542096927453628e+00;-9.8417924870230622e-01;7.7999015188839727e-01;-1.4298656776595103e-01;4.1437083394195623e-01;1.2063421202022193e+00;-2.0973777852080969e-01;-1.1837367887544101e+00;-3.3108201562100203e-01;7.2062107949019938e-01;2.3693304329153362e+00
7.0734283602844372e-01;4.6744459774116599e-02;-7.2798676535860241e-01;-1.0614156904707177e+00;-1.4895999717385181e-02;9.7585387593051784e-03;-9.4435439400068377e-01;-1.2396886804260909e+00;1.0656388882088514e+00;-1.5333039631778165e+00;4.2701131823465338e-01;1.1932659336063487e+00;7.5769910188676748e-01;-1.4272339359057704e-01;-1.6158539157628824e+00
-1.1949400201865550e-01;8.3261352229631980e-01;1.4290902885104193e+00;6.8519700163107800e-01;9.6887418516501933e-01;-1.1593685423872908e+00;-2.5203002364300295e+00;-9.2350239833217862e-01;1.5961050849719369e-01;5.0092114328688764e-01;-2.0132236720371393e+00;2.3070289977198874e-01;-2.1012479807399527e+00;5.6129254008489093e-01;3.3119676198980758e-01
-5.0567870600978518e-02;-4.9977115994410332e-01;2.8463810979823206e-01;2.1020981614479912e+00;-6.0152666208012895e-01;-7.3945395692729926e-02;4.6564724943348418e-01;6.6866932341767260e-01;-2.7310177602910551e-01;-5.9481885540122470e-01;-4.9653196092885193e-01;-7.1991748624585616e-01;-2.0401778942987061e+00;-1.3239276477407198e+00;-6.8815121386036338e-01
-3.4127322256084008e-01;-7.9626356307798984e-01;-3.8656082250359119e-01;-1.4432758468604320e-01;-7.3972744814690752e-02;1.1301392783945745e+00;3.4648364683986133e-01;6.4695677106904503e-01;-9.6010674292476700e-02;1.2937443472274852e+00;-1.0701509461652990e-01;-4.4042267902123694e-01;-1.4042432699177512e+00;4.3644569766833963e-01;3.4123664493916861e-01
3.9814247251569629e-01;1.1322254937546072e-01;3.0816338537311916e-01;-8.6800633683599959e-01;9.2376179065571640e-01;1.3378901372982206e+00;-1.3377097012052550e+00;-2.5739885149615610e-01;-8.7175631646424601e-01;3.7576708336027990e-02;1.7663581267407583e-01;1.7026852631969367e+00;8.7357449238297802e-01;3.1171874379245823e-01;-3.5722676416761295e-01
